Place,Name,Latitude,Longitude,Junior
Ecos,"Ecos Park, Ballymena",-6.25911700,54.86737100,0
Eden Project,Eden Project,-4.74285000,50.35831500,0
Edinburgh,Edinburgh Promenade,-3.29158500,55.97880600,0
Eglinton,Eglinton Country Park,-4.66966200,55.64393500,0
Elgin,Cooper Park,-3.31307200,57.65339300,0
Ellenbrook Fields,University of Hertfordshire Sports Villa,-0.25427700,51.76178700,0
Ellesmere Port,Whitby Park,-2.90254200,53.27252400,0
Ellon,Ellon Academy Community Campus,-2.05696800,57.35926200,0
Enniskillen,Enniskillen,-7.64229300,54.34383400,0
Erddig,Erddig Hall,-3.00683300,53.02713700,0
Evesham,Evesham,-1.95812200,52.09019100,0
Exeter Riverside,Exeter Quay & River Valley Park,-3.52583300,50.71376200,0
Exmouth,Exmouth,-3.41239200,50.61469700,0
Falkirk,"Callendar Park, Falkirk",-3.76671200,55.99543000,0
Falls,"Falls Park, Belfast",-5.97887900,54.58636300,0
Fareham,Cams Hall Estate,-1.16738500,50.84844800,0
Felixstowe,Undercliff Road West,1.34574100,51.95777800,0
Fell Foot,Fell Foot Park,-2.95225900,54.27473600,0
Ferry Meadows,Ferry Meadows Country Park,-0.30813200,52.56556300,0
Finsbury Park,Finsbury Park,-0.10414500,51.56959500,0
Fire Service College,Fire Service College,-1.67548700,51.99068800,0
Flatts Lane,Flatts Lane Woodland Country Park,-1.15174100,54.54387200,0
Fleetwood Promenade,Outer Promenade,-3.01691900,53.92736600,0
Fletcher Moss,Fletcher Moss Park,-2.23551000,53.40999000,0
Folkestone,The Leas,1.17275300,51.07572900,0
Foots Cray Meadows,Foots Cray Meadows,0.13326900,51.43210300,0
Ford,Ford Park,-3.08813500,54.19842700,0
Forest Rec,"Forest Recreation Gound, Nottingham",-1.15976600,52.96535200,0
Forest of Dean,"Coverham Enclosure, Forest of Dean",-2.60521900,51.80870100,0
Fort William,Nevis Range,-4.99916100,56.85148400,0
Fountains Abbey,Fountains Abbey,-1.58198300,54.11019600,0
Frickley Country,Frickley Country Park,-1.29045700,53.58857300,0
Frimley Lodge,Frimley Lodge Park,-0.72485100,51.29862200,0
Fulbourn Hospital,Fulbourn Hospital,0.18609400,52.18413100,0
Fulham Palace,Bishops Park,-0.21849300,51.47246500,0
Gadebridge,Gadebridge Park,-0.47354200,51.75890900,0
Gainsborough,West Lindsey Leisure Centre,-0.77077700,53.40627200,0
Ganavan Sands,Ganavan,-5.46902100,56.43776600,0
Gateshead," Saltwell Park, Gateshead",-1.60209400,54.94473300,0
Gedling,Gedling Country Park,-1.08712400,52.99391900,0
Gibside,Gibside,-1.73124800,54.92040600,0
Girvan Prom,Knockcushan Street,-4.86253800,55.24399400,0
Gladstone,"Gladstone Park, London",-0.22822300,51.55698200,0
Glossop,Manor Park,-1.93950300,53.44701900,0
Gloucester City,Gloucester Park,-2.24312900,51.85870700,0
Gloucester North,Plock Court Playing Fields,-2.23170700,51.87830400,0
Gnoll,Gnoll Estate Country Park,-3.78861600,51.66111400,0
Goole,West Park,-0.89109800,53.71049200,0
Gorleston,Gorleston Cliffs Promenade,1.73069000,52.56780600,0
Grangemoor,Cardiff,-3.19241200,51.45446400,0
Graves,"Graves Park, Sheffield",-1.46465700,53.33890600,0
Great Cornard,Great Cornard Sports Centre,0.75136200,52.02463000,0
Great Denham,Great Denham,-0.50906200,52.12160200,0
Great Dunmow,The Recreation Ground,0.36270000,51.87868100,0
Great Lines,Great Lines Heritage ParkPark,0.54133400,51.38852700,0
Great Notley,Great Notley Country Park,0.51584000,51.86414700,0
Greenock,The Esplanade,-4.76734800,55.95652500,0
Greenwich,"Avery Hill Park, Greenwich",0.07515500,51.44945900,0
Groe,Groe Park,-3.40311300,52.15041800,0
Grovelands,"Grovelands Park, Enfield",-0.11376900,51.63307600,0
Guernsey,Pembroke Bay,-2.53031200,49.50234100,0
Guildford,"Stoke Park, Guildford",-0.56206200,51.24738300,0
Gunnersbury,"Gunnersbury Park, South Acton",-0.29225300,51.49940500,0
Gunpowder,"Gunpowder Park, Waltham Abbey",-0.00083100,51.67603700,0
Hackney Marshes,Hackney Marshes,-0.02536800,51.55368600,0
Hackworth,Hackworth Park,-1.64494500,54.62807100,0
Hadleigh,Hadleigh Country Park,0.59606000,51.54976900,0
Hafan Pwllheli,Plas Heli Cyf,-4.40281100,52.88853800,0
Haigh Woodland,Haigh Country Park,-2.60951900,53.57271400,0
Haldon Forest,Haldon Forest Park,-3.57935900,50.65339200,0
Halifax,Shroggs Park,-1.87387100,53.73174600,0
Hampstead Heath,Hampstead Heath,-0.16818500,51.55859800,0
Hanley,"Hanley Park, Hanley",-2.17516400,53.01250100,0
Hanworth,Hanworth Park,-0.39828700,51.43874000,0
Harcourt Hill,Harcourt Hill Campus,-1.29519100,51.73936900,0
Harlow,Harlow Town Park,0.10362400,51.77766000,0
Harrogate,"The Stray, Harrogate",-1.52143500,53.99242800,0
Harrow Lodge,Harrow Lodge Park,0.20071500,51.55560600,0
Harrow,Harrow Recreation Ground,-0.34273400,51.58178100,0
Hartlepool,Hartlepool,-1.19512800,54.68693700,0
Harwich,Cliff Park,1.28480900,51.93803500,0
Hastings,Hastings,0.53973900,50.85029100,0
Havant,Staunton Country Park,-0.97556500,50.87577100,0
Haverfordwest,Haverfordwest Crickert Club,-4.99283600,51.79716300,0
Haverhill,Puddlebrook Playing Fields,0.42221200,52.07673700,0
Hay Lodge,Hay Lodge Park,-3.19958600,55.65165900,0
Hazelwood,Hazelwood Centre,-0.42104500,51.40578300,0
Hazlehead,Hazlehead Park,-2.17564700,57.14137100,0
Heartlands,"Heartlands,",-5.27150000,50.22417700,0
Heaton Park,"Heaton Park, Manchester",-2.25626300,53.53197500,0
"Henley Wood, Oswestry",Henley Wood,-3.03036800,52.86254200,0
Henley-on-Thames,Henley-on-Thames,-0.91928800,51.53197800,0
Henstridge Airfield,Henstridge Airfield,-2.35299200,50.98527800,0
Hereford,Hereford,-2.72415200,52.06889200,0
Herrington Country,Herrington Country Park,-1.47680900,54.87657300,0
Heslington,York Sport Village,-1.01799000,53.94931900,0
"Higginson, Marlow","Higginson Park,",-0.77957300,51.56626800,0
Highbury Fields,"Highbury Fields, Highbury",-0.10288400,51.54695900,0
Highwoods,Highwoods Country Park,0.91756100,51.90468200,0
Hillsborough,Hillsborough Park,-1.50197300,53.40845700,0
Hilly Fields,Hilly Fields,-0.02501900,51.46014300,0
Hoblingwell,Hoblingwell Wood Recreation Ground,0.09884700,51.40098100,0
Hockley Woods,Hockley Woods,0.64912000,51.59613300,0
Hogmoor Inclosure,Hogmoor Inclosure ,-0.87593400,51.11168100,0
Holkham,Holkham Hall,0.80102200,52.95015900,0
Holy Cross College,Holy Cross College,-7.47740800,54.81571800,0
Homewood,Ottershaw Memorial Fields,-0.53907800,51.36680800,0
Horsham,Horsham,-0.32790800,51.06651000,0
Horton Park,Horton Park,-1.77538000,53.78245500,0
Houghton Hall,Houghton Hall Park,-0.51004600,51.90155000,0
Hove Promenade,Hove Lawns,-0.16659400,50.82339100,0
Huddersfield,"Greenhead Park, Huddersfield",-1.80068500,53.65060800,0
Hull,"East Park, Hull",-0.30070800,53.76464500,0
Humber Bridge,Humber Bridge Country Park,-0.45335200,53.71723000,0
Hunstanton Promenade,Hunstanton North Promenade,0.48652600,52.94168400,0
Huntingdon,Huntingdon,-0.21155100,52.33006100,0
Hyde,Hyde Park,-2.07655400,53.45713000,0
Hyndburn,Wilson Playing Fields,-2.37673400,53.78171100,0
Ifield Mill Pond,Ifield Mill Pond,-0.21886300,51.10750800,0
Inverness,"Bught Park, Inverness",-4.23547400,57.46365400,0
Ipswich,Chantry Park,1.11585000,52.05229300,0
Irchester Country,Irchester Country Park,-0.67364900,52.28507600,0
Isabel Trail,Isabel Trail,-2.12595300,52.80824200,0
Jersey Farm,Jersey Farm Woodland Park,-0.30797800,51.77371800,0
Jersey,Les Quennevais sports centre,-2.20412400,49.19502600,0
Jesmond Dene,Jesmond Dene,-1.59283900,54.99188000,0
Jubilee,Jubilee Park,-1.60460200,54.70107300,0
Kesgrave,Kesgrave,1.25774100,52.05813800,0
Keswick,Keswick Railway Path,-3.12949700,54.60386300,0
Kettering,Wicksteed Park,-0.71065300,52.38422600,0
Kew Woods,Kew Woods,-2.99506400,53.62907300,0
Killerton,"Killerton, Broadclyst",-3.45500700,50.79283500,0
King George V Playing Field,King George V Playing Field,-2.11001800,51.90188300,0
Kingdom,Kingdom,0.16276800,51.16240800,0
Kingsbury Water,Kingsbury Water Park,-1.69871800,52.56198300,0
Kingston,Kingston Riverside,-0.30951600,51.42656700,0
Kingsway,Kingsway Sports Pavillion,-2.27280400,51.82148700,0
Kingâ€™s Lynn,"The Walks, Kingâ€™s Lynn",0.40744600,52.75276200,0
Kirkcaldy,Beveridge Park,-3.16954900,56.10408700,0
Kirkwall,The Peedie Sea,-2.94806900,58.98228200,0
Knowsley,Stadt Moers Park,-2.81165400,53.41111600,0
Lanark Moor,Lanark Racecourse,-3.75028400,55.66631800,0
Lancaster,Williamson Park,-2.78118300,54.04568000,0
Lancing Beach Green,28 Brighton Road,-0.32379200,50.82059100,0
Landâ€™s End,Landâ€™s End,-5.71409600,50.06612700,0
Lanhydrock,Lanhydrock House,-4.69614000,50.44113100,0
Larne,Carnfunnock Country Park,-5.84359500,54.88843000,0
Leamington,"Newbold Comyn, Leamington",-1.50465500,52.28714000,0
Leazes,Leazes Park,-1.62563300,54.97707800,0
Lee-on-the-Solent,Lee-on-the-Solent,-1.20383000,50.80108700,0
Leicester Victoria,Victoria Park,-1.12165900,52.62095400,0
Letchworth,Grange Recreation Ground,-0.22279000,51.99989500,0
Levengrove,"Levengrove Park,",-4.57567000,55.94072100,0
Limavady,Blackburn Park,-6.94477700,55.04712800,0
Lincoln,Boultham Park,-0.56090400,53.20884800,0
Linford Wood,Linford Wood,-0.76016800,52.05864000,0
Lingwood,Lingwood Village Hall,1.49352800,52.61890100,0
Linwood,ON-X Linwood,-4.50507800,55.85403300,0
Littlehampton Prom,Promenade,-0.54193900,50.80228400,0
Littleport,"Littleport Recreation Ground,",0.29934200,52.46304800,0
Livingston,Almondvale Park,-3.51882800,55.88679700,0
Llanelli Coast,King George V Playing Fields,-4.20620400,51.68508000,0
Llanerchaeron,Llanerchaeron,-4.23579800,52.22044300,0
Lloyd,"Lloyd Park, Croydon",-0.07997300,51.36480700,0
Llyn Llech Owain,Llyn Llech Owain,-4.08056300,51.81291300,0
Loch Leven,Loch Levenâ€™s Larder,-3.35808500,56.21943400,0
Loch Neaton,Loch Neaton,0.82740000,52.57755800,0
Lochend Woods,Hallhill Sports Centre,-2.52150100,55.99721400,0
Lochore Meadows,Lochore Meadows Country Park,-3.33708000,56.15069900,0
Long Eaton,West Park Leisure Centre,-1.28585300,52.89515500,0
Longrun Meadow,Longrun Meadow Park,-3.11498900,51.01875500,0
Lowestoft,Cardiff,1.74733800,52.46828600,0
Ludlow,Mortimer Forest,-2.77307800,52.35328400,0
Lullingstone,Lullingstone Country Park,0.18714700,51.35311800,0
Luton Wardown,Wardown Park,-0.42091700,51.88985300,0
Lydiard,"Lydiard Park, Swindon",-1.85362100,51.56148900,0
Lydney,Lydney Boating Lake,-2.52648000,51.72161300,0
Lyme Park,Lyme Park,-2.05840200,53.33719300,0
Lymington Woodside,Woodside Gardens,-1.54548000,50.74774700,0
Lytham Hall,Lytham Hall,-2.97761300,53.74485500,0
MUSA Cookstown,Mid Ulster Sports Arena,-6.73565600,54.61509300,0
Macclesfield,South Park,-2.13030000,53.25141300,0
Maesteg,Welfare Park,-3.66557300,51.60949900,0
Maidenhead,Braywick Park,-0.71213500,51.51095000,0
Maidstone,River Medway,0.50768900,51.29641000,0
Maldon Prom,Maldon Promenade Park,0.68877000,51.72674200,0
Mallards Pike,Mallards Pike,-2.52855500,51.78466600,0
Malling,Leybourne Lakes Country Park,0.43734300,51.31537000,0
"Manor Field, Whittlesey",Manor Field (Manor Leisure Centre),-0.12594100,52.55186900,0
Mansfield,Mansfield,-1.18384400,53.17403400,0
March,Williamson Park,0.08620800,52.55006900,0
Margate,Margate,1.40399700,51.39207000,0
Markeaton,Markeaton,-1.50476900,52.93540800,0
